time_mjd2000 mercury_x mercury_y mercury_z venus_x venus_y venus_z earth_x earth_y earth_z mars_x mars_y mars_z jupiter_x jupiter_y jupiter_z saturn_x saturn_y saturn_z uranus_x uranus_y uranus_z neptune_x neptune_y neptune_z sc_x sc_y sc_z
1.18435000e+04 -3.60234007e+07 3.43265813e+07 6.10898707e+06 2.72277282e+07 1.04304192e+08 -1.36124825e+05 -4.19025492e+07 -1.45872673e+08 1.07266041e+04 -6.22375652e+06 2.35225096e+08 5.08256170e+06 3.00558530e+08 -7.10249562e+08 -3.76815038e+06 1.02193200e+08 1.34633810e+09 -2.74459323e+07 1.58944465e+08 2.84629003e+09 8.49106297e+06 4.30646636e+09 1.17151125e+09 -1.23367031e+08 -4.19025492e+07 -1.45872673e+08 1.07266041e+04
1.18449597e+04 -4.11999330e+07 2.98574816e+07 6.21841723e+06 2.29176338e+07 1.05310112e+08 1.26389134e+05 -3.83404905e+07 -1.46879935e+08 1.08019985e+04 -9.16246595e+06 2.35384895e+08 5.15793574e+06 3.02056090e+08 -7.09528004e+08 -3.80466048e+06 1.00914048e+08 1.34642784e+09 -2.73965652e+07 1.58080701e+08 2.84629769e+09 8.50227686e+06 4.30628197e+09 1.17217673e+09 -1.23376486e+08 -3.66201028e+07 -1.47451979e+08 -2.45435037e+05
1.18464194e+04 -4.57323543e+07 2.49201345e+07 6.23051035e+06 1.85689015e+07 1.06138482e+08 3.88689947e+05 -3.47552962e+07 -1.47798568e+08 1.08708923e+04 -1.20996972e+07 2.35506708e+08 5.23247737e+06 3.03552258e+08 -7.08803177e+08 -3.84115305e+06 9.96348089e+07 1.34651642e+09 -2.73471746e+07 1.57216924e+08 2.84630509e+09 8.51348997e+06 4.30609747e+09 1.17284218e+09 -1.23385939e+08 -3.13156180e+07 -1.48942557e+08 -5.01449096e+05
1.18478791e+04 -4.95971515e+07 1.96177320e+07 6.15154431e+06 1.41888426e+07 1.06787785e+08 6.50334942e+05 -3.11491416e+07 -1.48628067e+08 1.09332458e+04 -1.50349825e+07 2.35590640e+08 5.30617730e+06 3.05047027e+08 -7.08075084e+08 -3.87762791e+06 9.83554850e+07 1.34660386e+09 -2.72977606e+07 1.56353131e+08 2.84631223e+09 8.52470230e+06 4.30591287e+09 1.17350761e+09 -1.23395389e+08 -2.59923851e+07 -1.50343983e+08 -7.57163162e+05
1.18493388e+04 -5.27865196e+07 1.40470821e+07 5.98871569e+06 9.78483117e+06 1.07256813e+08 9.10881996e+05 -2.75242115e+07 -1.49367980e+08 1.09890235e+04 -1.79678577e+07 2.35636798e+08 5.37902643e+06 3.06540389e+08 -7.07343727e+08 -3.91408490e+06 9.70760769e+07 1.34669013e+09 -2.72483231e+07 1.55489325e+08 2.84631911e+09 8.53591385e+06 4.30572817e+09 1.17417300e+09 -1.23404835e+08 -2.06537040e+07 -1.51656081e+08 -1.01242756e+06
1.18507984e+04 -5.53051606e+07 8.29700156e+06 5.74971484e+06 5.36429179e+06 1.07544659e+08 1.16989031e+06 -2.38826993e+07 -1.50017907e+08 1.10381934e+04 -2.08978616e+07 2.35645297e+08 5.45101584e+06 3.08032339e+08 -7.06609108e+08 -3.95052384e+06 9.57965856e+07 1.34677526e+09 -2.71988623e+07 1.54625505e+08 2.84632574e+09 8.54712462e+06 4.30554337e+09 1.17483837e+09 -1.23414279e+08 -1.53028615e+07 -1.52878922e+08 -1.26709636e+06
1.18522581e+04 -5.71673631e+07 2.44761998e+06 5.44240119e+06 9.34686285e+05 1.07650731e+08 1.42692117e+06 -2.02268057e+07 -1.50577499e+08 1.10807275e+04 -2.38245366e+07 2.35616254e+08 5.52213679e+06 3.09522867e+08 -7.05871229e+08 -3.98694456e+06 9.45170123e+07 1.34685922e+09 -2.71493782e+07 1.53761670e+08 2.84633210e+09 8.55833461e+06 4.30535846e+09 1.17550371e+09 -1.23423720e+08 -9.94310898e+06 -1.54012816e+08 -1.52102824e+06
1.18537178e+04 -5.83944945e+07 -3.42966992e+06 5.07456926e+06 -3.49649924e+06 1.07574746e+08 1.68153878e+06 -1.65587377e+07 -1.51046460e+08 1.11166015e+04 -2.67474285e+07 2.35549793e+08 5.59238072e+06 3.11011967e+08 -7.05130094e+08 -4.02334688e+06 9.32373579e+07 1.34694204e+09 -2.70998707e+07 1.52897822e+08 2.84633820e+09 8.56954381e+06 4.30517345e+09 1.17616902e+09 -1.23433157e+08 -4.57764142e+06 -1.55058304e+08 -1.77408735e+06
1.18551775e+04 -5.90129424e+07 -9.27184103e+06 4.65379018e+06 -7.92176764e+06 1.07316732e+08 1.93331097e+06 -1.28807073e+07 -1.51424547e+08 1.11457951e+04 -2.96660862e+07 2.35446041e+08 5.66173926e+06 3.12499632e+08 -7.04385705e+08 -4.05973062e+06 9.19576238e+07 1.34702370e+09 -2.70503401e+07 1.52033959e+08 2.84634405e+09 8.58075223e+06 4.30498834e+09 1.17683430e+09 -1.23442592e+08 7.90421925e+05 -1.56016146e+08 -2.02614405e+06
1.18566372e+04 -5.90524837e+07 -1.50236144e+07 4.18731261e+06 -1.23336239e+07 1.06877033e+08 2.18181001e+06 -9.19493024e+06 -1.51711568e+08 1.11682917e+04 -3.25800623e+07 2.35305130e+08 5.73020420e+06 3.13985854e+08 -7.03638063e+08 -4.09609562e+06 9.06778108e+07 1.34710420e+09 -2.70007862e+07 1.51170083e+08 2.84634963e+09 8.59195986e+06 4.30480313e+09 1.17749956e+09 -1.23452024e+08 6.15805515e+06 -1.56887310e+08 -2.27707547e+06
