time_mjd2000 mercury_x mercury_y mercury_z venus_x venus_y venus_z earth_x earth_y earth_z mars_x mars_y mars_z jupiter_x jupiter_y jupiter_z saturn_x saturn_y saturn_z uranus_x uranus_y uranus_z neptune_x neptune_y neptune_z sc_x sc_y sc_z
1.14735000e+04 4.34807839e+07 2.25267200e+07 -2.14626523e+06 -9.85322775e+07 -4.38858613e+07 5.08143003e+06 -5.32927475e+07 -1.41994422e+08 1.01163944e+04 -1.24924823e+08 -1.92372563e+08 -9.69778919e+05 -1.03770564e+08 -7.84195254e+08 5.58624463e+06 4.20669556e+08 1.28683028e+09 -3.90912857e+07 3.77213016e+08 2.83601176e+09 5.62636550e+06 4.34989704e+09 1.00197230e+09 -1.20876425e+08 -5.32927475e+07 -1.41994422e+08 1.01163944e+04
1.14751448e+04 3.84587028e+07 2.86913460e+07 -1.18187941e+06 -9.64373461e+07 -4.84068310e+07 4.89838044e+06 -4.93782266e+07 -1.43443183e+08 1.02210710e+04 -1.21893820e+08 -1.93931219e+08 -1.07674058e+06 -1.01951084e+08 -7.84350307e+08 5.54617978e+06 4.19291990e+08 1.28725400e+09 -3.90438042e+07 3.76246628e+08 2.83609403e+09 5.63918562e+06 4.34971860e+09 1.00272955e+09 -1.20887907e+08 -4.75944226e+07 -1.44209703e+08 -3.03498953e+05
1.14767896e+04 3.25080487e+07 3.41608951e+07 -1.89148275e+05 -9.41373499e+07 -5.28248700e+07 4.70491480e+06 -4.54258004e+07 -1.44781830e+08 1.03179298e+04 -1.18835633e+08 -1.95446624e+08 -1.18346203e+06 -1.00131051e+08 -7.84501108e+08 5.50608488e+06 4.17913972e+08 1.28767634e+09 -3.89962805e+07 3.75280196e+08 2.83617597e+09 5.65200510e+06 4.34954004e+09 1.00348676e+09 -1.20899387e+08 -4.18596798e+07 -1.46314652e+08 -6.16882302e+05
1.14784344e+04 2.57302950e+07 3.87589552e+07 8.08204311e+05 -9.16373614e+07 -5.71306858e+07 4.50145358e+06 -4.14385283e+07 -1.46009417e+08 1.04069000e+04 -1.15750834e+08 -1.96918259e+08 -1.28991837e+06 -9.83104752e+07 -7.84647656e+08 5.46596012e+06 4.16535503e+08 1.28809728e+09 -3.89487147e+07 3.74313722e+08 2.83625758e+09 5.66482393e+06 4.34936135e+09 1.00424395e+09 -1.20910862e+08 -3.60931094e+07 -1.48308373e+08 -9.29796998e+05
1.14800793e+04 1.82712682e+07 4.23286152e+07 1.78398095e+06 -8.89428699e+07 -6.13152419e+07 4.28843778e+06 -3.74194907e+07 -1.47125080e+08 1.04879166e+04 -1.12640004e+08 -1.98345608e+08 -1.39608453e+06 -9.64893661e+07 -7.84789947e+08 5.42580572e+06 4.15156585e+08 1.28851684e+09 -3.89011069e+07 3.73347204e+08 2.83633887e+09 5.67764210e+06 4.34918252e+09 1.00500111e+09 -1.20922334e+08 -3.02993373e+07 -1.50190354e+08 -1.24201154e+06
1.14817241e+04 1.03160317e+07 4.47470860e+07 2.71117486e+06 -8.60597690e+07 -6.53697768e+07 4.06632794e+06 -3.33717875e+07 -1.48128038e+08 1.05609204e+04 -1.09503736e+08 -1.99728163e+08 -1.50193533e+06 -9.46677334e+07 -7.84927979e+08 5.38562190e+06 4.13777219e+08 1.28893500e+09 -3.88534571e+07 3.72380644e+08 2.83641984e+09 5.69045962e+06 4.34900356e+09 1.00575824e+09 -1.20933802e+08 -2.44829856e+07 -1.51960459e+08 -1.55330137e+06
1.14833689e+04 2.07781546e+06 4.59380118e+07 3.56399127e+06 -8.29943416e+07 -6.92858212e+07 3.83560306e+06 -2.92985353e+07 -1.49017592e+08 1.06258583e+04 -1.06342635e+08 -2.01065421e+08 -1.60744542e+06 -9.28455869e+07 -7.85061751e+08 5.34540885e+06 4.12397406e+08 1.28935178e+09 -3.88057653e+07 3.71414042e+08 2.83650048e+09 5.70327648e+06 4.34882448e+09 1.00651534e+09 -1.20945266e+08 -1.86486354e+07 -1.53618919e+08 -1.86345055e+06
1.14850137e+04 -6.21756551e+06 4.58786493e+07 4.31986306e+06 -7.97532459e+07 -7.30552153e+07 3.59675953e+06 -2.52028657e+07 -1.49793129e+08 1.06826831e+04 -1.03157315e+08 -2.02356886e+08 -1.71258933e+06 -9.10229364e+07 -7.85191261e+08 5.30516678e+06 4.11017148e+08 1.28976716e+09 -3.87580316e+07 3.70447397e+08 2.83658079e+09 5.71609269e+06 4.34864526e+09 1.00727240e+09 -1.20956727e+08 -1.28007907e+07 -1.55166322e+08 -2.17225316e+06
1.14866585e+04 -1.43489228e+07 4.46002567e+07 4.96106103e+06 -7.63434994e+07 -7.66701249e+07 3.35030998e+06 -2.10879231e+07 -1.50454119e+08 1.07313534e+04 -9.99484007e+07 -2.03602067e+08 -1.81734146e+06 -8.91997915e+07 -7.85316506e+08 5.26489591e+06 4.09636447e+08 1.29018115e+09 -3.87102561e+07 3.69480709e+08 2.83666078e+09 5.72890823e+06 4.34846591e+09 1.00802944e+09 -1.20968184e+08 -6.94384630e+06 -1.56603589e+08 -2.47951458e+06
1.14883033e+04 -2.21152025e+07 4.21818849e+07 5.47560848e+06 -7.27724629e+07 -8.01230567e+07 3.09678218e+06 -1.69568627e+07 -1.51000116e+08 1.07718339e+04 -9.67165301e+07 -2.04800482e+08 -1.92167607e+06 -8.73761620e+07 -7.85437485e+08 5.22459645e+06 4.08255303e+08 1.29059375e+09 -3.86624388e+07 3.68513979e+08 2.83674045e+09 5.74172312e+06 4.34828642e+09 1.00878645e+09 -1.20979638e+08 -1.08205848e+06 -1.57931956e+08 -2.78505248e+06
