time_mjd2000 mercury_x mercury_y mercury_z venus_x venus_y venus_z earth_x earth_y earth_z mars_x mars_y mars_z jupiter_x jupiter_y jupiter_z saturn_x saturn_y saturn_z uranus_x uranus_y uranus_z neptune_x neptune_y neptune_z sc_x sc_y sc_z
1.22272406e+04 -2.25632975e+07 -6.58741153e+07 -3.31506234e+06 9.46601681e+07 -5.34839529e+07 -6.19731509e+06 4.33728967e+06 -1.51983408e+08 1.15367618e+04 1.29846985e+07 -2.16244066e+08 -4.85049170e+06 6.25298451e+08 -4.18369744e+08 -1.22489370e+07 -2.33773570e+08 1.33013901e+09 -1.37888165e+07 -6.83920596e+07 2.83933741e+09 1.14091488e+07 4.25448267e+09 1.34545504e+09 -1.25751249e+08 2.07663855e+07 -1.55795682e+08 -2.04389495e+06
1.22285147e+04 -1.85174445e+07 -6.71888419e+07 -3.79352105e+06 9.64744245e+07 -5.01108948e+07 -6.25557963e+06 7.56052660e+06 -1.51867467e+08 1.15291580e+04 1.57464190e+07 -2.15837707e+08 -4.90965548e+06 6.26079684e+08 -4.17105033e+08 -1.22716814e+07 -2.34876915e+08 1.32995272e+09 -1.37416532e+07 -6.91469134e+07 2.83928425e+09 1.14187264e+07 4.25429839e+09 1.34602903e+09 -1.25758823e+08 2.56052421e+07 -1.56075937e+08 -2.24605093e+06
1.22297887e+04 -1.43840197e+07 -6.81858511e+07 -4.25404192e+06 9.81685359e+07 -4.66754309e+07 -6.30605366e+06 1.07803053e+07 -1.51682060e+08 1.15162782e+04 1.85056426e+07 -2.15397128e+08 -4.96804081e+06 6.26858551e+08 -4.15838745e+08 -1.22943795e+07 -2.35980106e+08 1.32976557e+09 -1.36944809e+07 -6.99017623e+07 2.83923090e+09 1.14283031e+07 4.25411404e+09 1.34660300e+09 -1.25766395e+08 3.04337021e+07 -1.56292782e+08 -2.44729464e+06
1.22310628e+04 -1.01826346e+07 -6.88606917e+07 -4.69446277e+06 9.97403595e+07 -4.31818240e+07 -6.34867222e+06 1.39951540e+07 -1.51427285e+08 1.14981283e+04 2.12619229e+07 -2.14922294e+08 -5.02563601e+06 6.27635049e+08 -4.14570886e+08 -1.23170311e+07 -2.37083143e+08 1.32957754e+09 -1.36472997e+07 -7.06566063e+07 2.83917735e+09 1.14378791e+07 4.25392961e+09 1.34717694e+09 -1.25773964e+08 3.52500511e+07 -1.56447396e+08 -2.64756420e+06
1.22323369e+04 -5.93304924e+06 -6.92094932e+07 -5.11265527e+06 1.01187901e+08 -3.96344105e+07 -6.38337991e+06 1.72036034e+07 -1.51103269e+08 1.14747162e+04 2.40148113e+07 -2.14413177e+08 -5.08242951e+06 6.28409174e+08 -4.13301459e+08 -1.23396361e+07 -2.38186025e+08 1.32938865e+09 -1.36001096e+07 -7.14114453e+07 2.83912360e+09 1.14474542e+07 4.25374510e+09 1.34775086e+09 -1.25781532e+08 4.00526699e+07 -1.56541042e+08 -2.84680227e+06
1.22336109e+04 -1.65525324e+06 -6.92289591e+07 -5.50651695e+06 1.02509317e+08 -3.60375949e+07 -6.41013097e+06 2.04041874e+07 -1.50710169e+08 1.14460523e+04 2.67638573e+07 -2.13869756e+08 -5.13840982e+06 6.29180923e+08 -4.12030470e+08 -1.23621945e+07 -2.39288752e+08 1.32919889e+09 -1.35529106e+07 -7.21662792e+07 2.83906964e+09 1.14570285e+07 4.25356052e+09 1.34832475e+09 -1.25789097e+08 4.48400370e+07 -1.56575051e+08 -3.04495610e+06
1.22348850e+04 2.63044980e+06 -6.89163752e+07 -5.87396412e+06 1.03702917e+08 -3.23958455e+07 -6.42888937e+06 2.35954438e+07 -1.50248174e+08 1.14121492e+04 2.95086081e+07 -2.13292015e+08 -5.19356552e+06 6.29950293e+08 -4.10757923e+08 -1.23847061e+07 -2.40391322e+08 1.32900826e+09 -1.35057028e+07 -7.29211081e+07 2.83901549e+09 1.14666021e+07 4.25337586e+09 1.34889862e+09 -1.25796659e+08 4.96107306e+07 -1.56550813e+08 -3.24197749e+06
1.22361591e+04 6.90335554e+06 -6.82696334e+07 -6.21292594e+06 1.04767167e+08 -2.87136884e+07 -6.43962882e+06 2.67759147e+07 -1.49717499e+08 1.13730217e+04 3.22486093e+07 -2.12679946e+08 -5.24788528e+06 6.30717279e+08 -4.09483821e+08 -1.24071709e+07 -2.41493736e+08 1.32881677e+09 -1.34584861e+07 -7.36759318e+07 2.83896114e+09 1.14761748e+07 4.25319112e+09 1.34947247e+09 -1.25804220e+08 5.43634301e+07 -1.56469771e+08 -3.43782281e+06
1.22374331e+04 1.11422694e+07 -6.72872729e+07 -6.52133946e+06 1.05700689e+08 -2.49957029e+07 -6.44233287e+06 2.99441472e+07 -1.49118394e+08 1.13286870e+04 3.49834046e+07 -2.12033546e+08 -5.30135788e+06 6.31481879e+08 -4.08208171e+08 -1.24295887e+07 -2.42595992e+08 1.32862441e+09 -1.34112607e+07 -7.44307503e+07 2.83890659e+09 1.14857467e+07 4.25300631e+09 1.35004629e+09 -1.25811778e+08 5.90969152e+07 -1.56333403e+08 -3.63245290e+06
1.22387072e+04 1.53254153e+07 -6.59685388e+07 -6.79714613e+06 1.06502266e+08 -2.12465157e+07 -6.43699491e+06 3.30986936e+07 -1.48451133e+08 1.12791646e+04 3.77125360e+07 -2.11352819e+08 -5.35397218e+06 6.32244090e+08 -4.06930975e+08 -1.24519595e+07 -2.43698089e+08 1.32843118e+09 -1.33640265e+07 -7.51855635e+07 2.83885184e+09 1.14953178e+07 4.25282141e+09 1.35062008e+09 -1.25819334e+08 6.38100656e+07 -1.56143223e+08 -3.82583295e+06
1.22399813e+04 1.94303427e+07 -6.43134611e+07 -7.03828971e+06 1.07170839e+08 -1.74707957e+07 -6.42361821e+06 3.62381125e+07 -1.47716023e+08 1.12244760e+04 4.04355440e+07 -2.10637777e+08 -5.40571714e+06 6.33003907e+08 -4.05652240e+08 -1.24742832e+07 -2.44800028e+08 1.32823708e+09 -1.33167835e+07 -7.59403715e+07 2.83879690e+09 1.15048880e+07 4.25263645e+09 1.35119386e+09 -1.25826887e+08 6.85018595e+07 -1.55900765e+08 -4.01793239e+06
1.22412553e+04 2.34338339e+07 -6.23229564e+07 -7.24271609e+06 1.07705516e+08 -1.36732483e+07 -6.40221589e+06 3.93609690e+07 -1.46913401e+08 1.11646453e+04 4.31519675e+07 -2.09888436e+08 -5.45658183e+06 6.33761328e+08 -4.04371968e+08 -1.24965596e+07 -2.45901806e+08 1.32804212e+09 -1.32695319e+07 -7.66951740e+07 2.83874175e+09 1.15144575e+07 4.25245140e+09 1.35176760e+09 -1.25834439e+08 7.31713707e+07 -1.55607578e+08 -4.20872472e+06
1.22425294e+04 2.73118126e+07 -5.99989548e+07 -7.40837520e+06 1.08105565e+08 -9.85861039e+06 -6.37281100e+06 4.24658354e+07 -1.46043632e+08 1.10996985e+04 4.58613442e+07 -2.09104821e+08 -5.50655544e+06 6.34516349e+08 -4.03090166e+08 -1.25187888e+07 -2.47003424e+08 1.32784629e+09 -1.32222716e+07 -7.74499712e+07 2.83868640e+09 1.15240262e+07 4.25226628e+09 1.35234133e+09 -1.25841988e+08 7.78177663e+07 -1.55265217e+08 -4.39818736e+06
1.22438034e+04 3.10392554e+07 -5.73445556e+07 -7.53322578e+06 1.08370422e+08 -6.03164403e+06 -6.33543645e+06 4.55512916e+07 -1.45107109e+08 1.10296640e+04 4.85632103e+07 -2.08286964e+08 -5.55562725e+06 6.35268967e+08 -4.01806837e+08 -1.25409705e+07 -2.48104881e+08 1.32764959e+09 -1.31750026e+07 -7.82047629e+07 2.83863085e+09 1.15335940e+07 4.25208108e+09 1.35291503e+09 -1.25849535e+08 8.24403036e+07 -1.54875238e+08 -4.58630143e+06
1.22450775e+04 3.45901113e+07 -5.43642158e+07 -7.61524323e+06 1.08499686e+08 -2.19713135e+06 -6.29013501e+06 4.86159258e+07 -1.44104256e+08 1.09545725e+04 5.12571011e+07 -2.07434902e+08 -5.60378667e+06 6.36019178e+08 -4.00521986e+08 -1.25631047e+07 -2.49206175e+08 1.32745203e+09 -1.31277251e+07 -7.89595491e+07 2.83857510e+09 1.15431611e+07 4.25189580e+09 1.35348870e+09 -1.25857079e+08 8.70383259e+07 -1.54439190e+08 -4.77305158e+06
