time_mjd2000 mercury_x mercury_y mercury_z venus_x venus_y venus_z earth_x earth_y earth_z mars_x mars_y mars_z jupiter_x jupiter_y jupiter_z saturn_x saturn_y saturn_z uranus_x uranus_y uranus_z neptune_x neptune_y neptune_z sc_x sc_y sc_z
1.17844959e+04 -3.13380550e+07 -6.17273405e+07 -2.17129966e+06 1.02789043e+08 -3.52221897e+07 -6.41503225e+06 -1.43338397e+08 -4.32462780e+07 3.16428655e+03 1.07883936e+08 1.96465966e+08 1.47351358e+06 2.38945486e+08 -7.36654600e+08 -2.27969956e+06 1.53814273e+08 1.34174569e+09 -2.94213055e+07 1.93846876e+08 2.84576315e+09 8.03713155e+06 4.31383438e+09 1.14458789e+09 -1.22982370e+08 -1.39842358e+08 -5.54092770e+07 -1.29927156e+06
1.17859955e+04 -2.68820328e+07 -6.40705041e+07 -2.77143832e+06 1.04146327e+08 -3.09205186e+07 -6.43417053e+06 -1.42238938e+08 -4.69410504e+07 3.43506479e+03 1.05240492e+08 1.98224903e+08 1.57516871e+06 2.40535395e+08 -7.36050833e+08 -2.31778564e+06 1.52504717e+08 1.34188569e+09 -2.93716013e+07 1.92960189e+08 2.84578179e+09 8.04868309e+06 4.31364920e+09 1.14527268e+09 -1.22992205e+08 -1.38362465e+08 -6.04272136e+07 -1.44066597e+06
1.17874950e+04 -2.22478897e+07 -6.59892772e+07 -3.35322490e+06 1.05323638e+08 -2.65654148e+07 -6.44218991e+06 -1.41045189e+08 -5.06047064e+07 3.70363425e+03 1.02576308e+08 1.99944778e+08 1.67651340e+06 2.42124149e+08 -7.35443532e+08 -2.35586058e+06 1.51195023e+08 1.34202448e+09 -2.93218705e+07 1.92073483e+08 2.84580015e+09 8.06023384e+06 4.31346391e+09 1.14595745e+09 -1.23002037e+08 -1.36793040e+08 -6.54060561e+07 -1.58112836e+06
1.17889946e+04 -1.74674984e+07 -6.74743657e+07 -3.91297695e+06 1.06318856e+08 -2.21643831e+07 -6.43907140e+06 -1.39758062e+08 -5.42348604e+07 3.96981944e+03 9.98919894e+07 2.01625405e+08 1.77752899e+06 2.43711740e+08 -7.34832698e+08 -2.39392420e+06 1.49885192e+08 1.34216206e+09 -2.92721133e+07 1.91186759e+08 2.84581824e+09 8.07178382e+06 4.31327851e+09 1.14664218e+09 -1.23011866e+08 -1.35136223e+08 -7.03431208e+07 -1.72058084e+06
1.17904941e+04 -1.25727361e+07 -6.85176950e+07 -4.44711134e+06 1.07130171e+08 -1.77250137e+07 -6.42481495e+06 -1.38378527e+08 -5.78291550e+07 4.23344687e+03 9.71881382e+07 2.03266609e+08 1.87819699e+06 2.45298160e+08 -7.34218333e+08 -2.43197632e+06 1.48575226e+08 1.34229843e+09 -2.92223295e+07 1.90300016e+08 2.84583606e+09 8.08333302e+06 4.31309300e+09 1.14732689e+09 -1.23021692e+08 -1.33394294e+08 -7.52358916e+07 -1.85894993e+06
1.17919937e+04 -7.59565334e+06 -6.91123347e+07 -4.95212248e+06 1.07756084e+08 -1.32549696e+07 -6.39943943e+06 -1.36907613e+08 -6.13852623e+07 4.49434508e+03 9.44653577e+07 2.04868225e+08 1.97849917e+06 2.46883401e+08 -7.33600439e+08 -2.47001675e+06 1.47265126e+08 1.34243358e+09 -2.91725193e+07 1.89413256e+08 2.84585360e+09 8.09488144e+06 4.31290739e+09 1.14801157e+09 -1.23031514e+08 -1.31569663e+08 -8.00820275e+07 -1.99616678e+06
1.17934932e+04 -2.56865298e+06 -6.92524612e+07 -5.42456299e+06 1.08195409e+08 -8.76197427e+06 -6.36298273e+06 -1.35346405e+08 -6.49008854e+07 4.75234484e+03 9.17242497e+07 2.06430094e+08 2.07841747e+06 2.48467455e+08 -7.32979018e+08 -2.50804530e+06 1.45954893e+08 1.34256751e+09 -2.91226828e+07 1.88526477e+08 2.84587087e+09 8.10642908e+06 4.31272167e+09 1.14869622e+09 -1.23041334e+08 -1.29664848e+08 -8.48793684e+07 -2.13216736e+06
1.17949928e+04 2.47532308e+06 -6.89333605e+07 -5.86102673e+06 1.08447279e+08 -4.25379903e+06 -6.31550167e+06 -1.33696046e+08 -6.83737595e+07 5.00727914e+03 8.89654153e+07 2.07952071e+08 2.17793409e+06 2.50050313e+08 -7.32354071e+08 -2.54606178e+06 1.44644527e+08 1.34270024e+09 -2.90728199e+07 1.87639680e+08 2.84588787e+09 8.11797594e+06 4.31253584e+09 1.14938084e+09 -1.23051151e+08 -1.27682455e+08 -8.96259382e+07 -2.26689262e+06
1.17964923e+04 7.50259931e+06 -6.81514718e+07 -6.25813455e+06 1.08511145e+08 2.61749815e+05 -6.25707196e+06 -1.31957733e+08 -7.18016536e+07 5.25898340e+03 8.61894544e+07 2.09434018e+08 2.27703143e+06 2.51631969e+08 -7.31725601e+08 -2.58406601e+06 1.43334032e+08 1.34283175e+09 -2.90229307e+07 1.86752865e+08 2.84590459e+09 8.12952201e+06 4.31234990e+09 1.15006543e+09 -1.23060964e+08 -1.25625166e+08 -9.43199468e+07 -2.40028847e+06
1.17979919e+04 1.24785654e+07 -6.69044750e+07 -6.61252296e+06 1.08386779e+08 4.77684379e+06 -6.18778815e+06 -1.30132718e+08 -7.51823712e+07 5.50729546e+03 8.33969658e+07 2.10875804e+08 2.37569212e+06 2.53212414e+08 -7.31093610e+08 -2.62205780e+06 1.42023406e+08 1.34296204e+09 -2.89730152e+07 1.85866032e+08 2.84592104e+09 8.14106730e+06 4.31216385e+09 1.15075000e+09 -1.23070775e+08 -1.23495715e+08 -9.89597895e+07 -2.53230593e+06
