time_mjd2000 mercury_x mercury_y mercury_z venus_x venus_y venus_z earth_x earth_y earth_z mars_x mars_y mars_z jupiter_x jupiter_y jupiter_z saturn_x saturn_y saturn_z uranus_x uranus_y uranus_z neptune_x neptune_y neptune_z sc_x sc_y sc_z
1.18574750e+04 -5.88259947e+07 -1.82651364e+07 3.90160725e+06 -1.48569260e+07 1.06542833e+08 2.32279780e+06 -7.07677638e+06 -1.51835118e+08 1.11781738e+04 -3.42503015e+07 2.35207520e+08 5.76909407e+06 3.14838242e+08 -7.03207473e+08 -4.11695940e+06 8.99432052e+07 1.34714989e+09 -2.69723335e+07 1.50674240e+08 2.84635272e+09 8.59839232e+06 4.30469677e+09 1.17788138e+09 -1.23457437e+08 1.01389015e+07 -1.57772615e+08 -2.66127270e+06
1.18589725e+04 -5.79918861e+07 -2.39196086e+07 3.36296691e+06 -1.93454786e+07 1.05797465e+08 2.57151708e+06 -3.28758716e+06 -1.51981044e+08 1.11903250e+04 -3.72312062e+07 2.35002753e+08 5.83786092e+06 3.16360600e+08 -7.02435175e+08 -4.15423554e+06 8.86301134e+07 1.34723060e+09 -2.69214583e+07 1.49787963e+08 2.84635802e+09 8.60988900e+06 4.30450660e+09 1.17856383e+09 -1.23467108e+08 1.56077295e+07 -1.58533114e+08 -2.92246845e+06
1.18604700e+04 -5.66381322e+07 -2.93602038e+07 2.79415467e+06 -2.37995184e+07 1.04863356e+08 2.81564871e+06 5.03681241e+05 -1.52030859e+08 1.11954013e+04 -4.02059760e+07 2.34759259e+08 5.90566571e+06 3.17881419e+08 -7.01659461e+08 -4.19149147e+06 8.73169417e+07 1.34731009e+09 -2.68705588e+07 1.48901672e+08 2.84636306e+09 8.62138484e+06 4.30431631e+09 1.17924624e+09 -1.23476777e+08 2.10679971e+07 -1.59206543e+08 -3.18205965e+06
1.18619675e+04 -5.48011237e+07 -3.45507000e+07 2.20146816e+06 -2.82110813e+07 1.03742091e+08 3.05475501e+06 4.29463135e+06 -1.51984560e+08 1.11933999e+04 -4.31741411e+07 2.34477199e+08 5.97250026e+06 3.19400691e+08 -7.00880334e+08 -4.22872701e+06 8.60036913e+07 1.34738837e+09 -2.68196350e+07 1.48015366e+08 2.84636782e+09 8.63287986e+06 4.30412592e+09 1.17992862e+09 -1.23486442e+08 2.65169842e+07 -1.59794637e+08 -3.43994581e+06
1.18634650e+04 -5.25170653e+07 -3.94597136e+07 1.59079245e+06 -3.25722739e+07 1.02435599e+08 3.28840708e+06 8.08286723e+06 -1.51842202e+08 1.11843222e+04 -4.61352356e+07 2.34156736e+08 6.03835660e+06 3.20918410e+08 -7.00097796e+08 -4.26594197e+06 8.46903633e+07 1.34746543e+09 -2.67686870e+07 1.47129046e+08 2.84637230e+09 8.64437405e+06 4.30393542e+09 1.18061098e+09 -1.23496104e+08 3.19521331e+07 -1.60299265e+08 -3.69603575e+06
1.18649625e+04 -4.98217050e+07 -4.40600232e+07 9.67630579e+05 -3.68752883e+07 1.00946146e+08 3.51618561e+06 1.18659958e+07 -1.51603897e+08 1.11681737e+04 -4.90887973e+07 2.33798039e+08 6.10322692e+06 3.22434566e+08 -6.99311850e+08 -4.30313617e+06 8.33769590e+07 1.34754128e+09 -2.67177149e+07 1.46242712e+08 2.84637652e+09 8.65586740e+06 4.30374481e+09 1.18129331e+09 -1.23505764e+08 3.73710533e+07 -1.60722413e+08 -3.95024757e+06
1.18664600e+04 -4.67501832e+07 -4.83279772e+07 3.37138087e+05 -4.11124173e+07 9.92763322e+07 3.73768168e+06 1.56416280e+07 -1.51269816e+08 1.11449644e+04 -5.20343679e+07 2.33401281e+08 6.16710362e+06 3.23949152e+08 -6.98522499e+08 -4.34030941e+06 8.20634795e+07 1.34761591e+09 -2.66667186e+07 1.45356365e+08 2.84638045e+09 8.66735992e+06 4.30355410e+09 1.18197560e+09 -1.23515420e+08 4.27715246e+07 -1.61066164e+08 -4.20250852e+06
1.18679575e+04 -4.33369671e+07 -5.22429812e+07 -2.95841082e+05 -4.52760687e+07 9.74290893e+07 3.95249758e+06 1.94073804e+07 -1.50840185e+08 1.11147084e+04 -5.49714932e+07 2.32966640e+08 6.22997929e+06 3.25462161e+08 -6.97729746e+08 -4.37746151e+06 8.07499261e+07 1.34768933e+09 -2.66156983e+07 1.44470003e+08 2.84638412e+09 8.67885160e+06 4.30336327e+09 1.18265787e+09 -1.23525073e+08 4.81514981e+07 -1.61332676e+08 -4.45275479e+06
1.18694550e+04 -3.96158517e+07 -5.57870611e+07 -9.26738789e+05 -4.93587798e+07 9.54076728e+07 4.16024752e+06 2.31608760e+07 -1.50315291e+08 1.10774239e+04 -5.78997226e+07 2.32494296e+08 6.29184669e+06 3.26973584e+08 -6.96933594e+08 -4.41459228e+06 7.94362998e+07 1.34776152e+09 -2.65646539e+07 1.43583627e+08 2.84638751e+09 8.69034244e+06 4.30317234e+09 1.18334010e+09 -1.23534723e+08 5.35090947e+07 -1.61524170e+08 -4.70093117e+06
1.18709525e+04 -3.56200079e+07 -5.89444936e+07 -1.55122811e+06 -5.33532321e+07 9.32156577e+07 4.36055843e+06 2.68997459e+07 -1.49695475e+08 1.10331337e+04 -6.08186094e+07 2.31984436e+08 6.35269877e+06 3.28483413e+08 -6.96134045e+08 -4.45170153e+06 7.81226019e+07 1.34783251e+09 -2.65135856e+07 1.42697238e+08 2.84639063e+09 8.70183245e+06 4.30298131e+09 1.18402231e+09 -1.23544369e+08 5.88426027e+07 -1.61642912e+08 -4.94699076e+06
1.18724500e+04 -3.13820659e+07 -6.17014988e+07 -2.16519053e+06 -5.72522648e+07 9.08569315e+07 4.55307061e+06 3.06216304e+07 -1.48981136e+08 1.09818643e+04 -6.37277109e+07 2.31437249e+08 6.41252866e+06 3.29991640e+08 -6.95331102e+08 -4.48878908e+06 7.68088336e+07 1.34790227e+09 -2.64624933e+07 1.41810835e+08 2.84639348e+09 8.71332162e+06 4.30279016e+09 1.18470449e+09 -1.23554013e+08 6.41504738e+07 -1.61691192e+08 -5.19089453e+06
1.18739475e+04 -2.69342253e+07 -6.40459876e+07 -2.76468519e+06 -6.10488886e+07 8.83356872e+07 4.73743852e+06 3.43241802e+07 -1.48172729e+08 1.09236468e+04 -6.66265882e+07 2.30852931e+08 6.47132966e+06 3.31498259e+08 -6.94524769e+08 -4.52585474e+06 7.54949961e+07 1.34797082e+09 -2.64113771e+07 1.40924418e+08 2.84639605e+09 8.72480995e+06 4.30259891e+09 1.18538664e+09 -1.23563654e+08 6.94313178e+07 -1.61671319e+08 -5.43261088e+06
1.18754450e+04 -2.23083850e+07 -6.59673585e+07 -3.34592044e+06 -6.47362994e+07 8.56564155e+07 4.91333132e+06 3.80050580e+07 -1.47270766e+08 1.08585164e+04 -6.95148063e+07 2.30231678e+08 6.52909528e+06 3.33003260e+08 -6.93715047e+08 -4.56289831e+06 7.41810904e+07 1.34803816e+09 -2.63602371e+07 1.40037988e+08 2.84639835e+09 8.73629743e+06 4.30240755e+09 1.18606876e+09 -1.23573291e+08 7.46838963e+07 -1.61585601e+08 -5.67211522e+06
1.18769425e+04 -1.75362883e+07 -6.74563400e+07 -3.90522757e+06 -6.83078907e+07 8.28238965e+07 5.08043363e+06 4.16619391e+07 -1.46275816e+08 1.07865122e+04 -7.23919340e+07 2.29573694e+08 6.58581917e+06 3.34506636e+08 -6.92901940e+08 -4.59991962e+06 7.28671180e+07 1.34810428e+09 -2.63090733e+07 1.39151544e+08 2.84640037e+09 8.74778407e+06 4.30221608e+09 1.18675085e+09 -1.23582926e+08 7.99071162e+07 -1.61436336e+08 -5.90938946e+06
1.18784400e+04 -1.26496803e+07 -6.85048752e+07 -4.43903695e+06 -7.17572668e+07 7.98431905e+07 5.23844602e+06 4.52925133e+07 -1.45188502e+08 1.07076778e+04 -7.52575442e+07 2.28879182e+08 6.64149518e+06 3.36008379e+08 -6.92085451e+08 -4.63691847e+06 7.15530798e+07 1.34816918e+09 -2.62578857e+07 1.38265087e+08 2.84640213e+09 8.75926987e+06 4.30202450e+09 1.18743291e+09 -1.23592557e+08 8.51000221e+07 -1.61225804e+08 -6.14442154e+06
1.18799375e+04 -7.68047680e+06 -6.91060452e+07 -4.94385640e+06 -7.50782546e+07 7.67196288e+07 5.38708568e+06 4.88944860e+07 -1.44009504e+08 1.06220606e+04 -7.81112135e+07 2.28148354e+08 6.69611732e+06 3.37508482e+08 -6.91265582e+08 -4.67389468e+06 7.02389771e+07 1.34823286e+09 -2.62066744e+07 1.37378617e+08 2.84640360e+09 8.77075483e+06 4.30183282e+09 1.18811493e+09 -1.23602186e+08 9.02617884e+07 -1.60956254e+08 -6.37720496e+06
1.18814350e+04 -2.66094053e+06 -6.92540327e+07 -5.41625187e+06 -7.82649154e+07 7.34588034e+07 5.52608689e+06 5.24655790e+07 -1.42739556e+08 1.05297123e+04 -8.09525223e+07 2.27381423e+08 6.74967979e+06 3.39006936e+08 -6.90442337e+08 -4.71084806e+06 6.89248111e+07 1.34829533e+09 -2.61554395e+07 1.36492133e+08 2.84640481e+09 8.78223894e+06 4.30164103e+09 1.18879693e+09 -1.23611811e+08 9.53917117e+07 -1.60629900e+08 -6.60773830e+06
1.18829325e+04 2.37613263e+06 -6.89441234e+07 -5.85283061e+06 -8.13115561e+07 7.00665562e+07 5.65520154e+06 5.60035324e+07 -1.41379447e+08 1.04306886e+04 -8.37810552e+07 2.26578605e+08 6.80217695e+06 3.40503733e+08 -6.89615718e+08 -4.74777842e+06 6.76105829e+07 1.34835658e+09 -2.61041809e+07 1.35605637e+08 2.84640574e+09 8.79372220e+06 4.30144913e+09 1.18947890e+09 -1.23621433e+08 1.00489202e+08 -1.60248914e+08 -6.83602478e+06
1.18844300e+04 7.39722089e+06 -6.81727488e+07 -6.25022695e+06 -8.42127404e+07 6.65489682e+07 5.77419962e+06 5.95061052e+07 -1.39930021e+08 1.03250492e+04 -8.65964003e+07 2.25740121e+08 6.85360332e+06 3.41998867e+08 -6.88785729e+08 -4.78468558e+06 6.62962938e+07 1.34841661e+09 -2.60528988e+07 1.34719127e+08 2.84640640e+09 8.80520462e+06 4.30125712e+09 1.19016085e+09 -1.23631052e+08 1.05553776e+08 -1.59815419e+08 -7.06207179e+06
