time_mjd2000 mercury_x mercury_y mercury_z venus_x venus_y venus_z earth_x earth_y earth_z mars_x mars_y mars_z jupiter_x jupiter_y jupiter_z saturn_x saturn_y saturn_z uranus_x uranus_y uranus_z neptune_x neptune_y neptune_z sc_x sc_y sc_z
1.22255850e+04 -2.76578744e+07 -6.36993361e+07 -2.67014145e+06 9.21268414e+07 -5.77670867e+07 -6.11008512e+06 1.45997317e+05 -1.52030178e+08 1.15387549e+04 9.39288345e+06 -2.16721062e+08 -4.77246545e+06 6.24279722e+08 -4.20010856e+08 -1.22193119e+07 -2.32339562e+08 1.33037979e+09 -1.38500910e+07 -6.74111313e+07 2.83940618e+09 1.13967018e+07 4.25472201e+09 1.34470911e+09 -1.25741403e+08 2.03237078e+07 -1.60547547e+08 -4.56109412e+06
1.22275935e+04 -2.14526170e+07 -6.62697863e+07 -3.44925043e+06 9.51745607e+07 -5.25562133e+07 -6.21422847e+06 5.23028585e+06 -1.51958256e+08 1.15351843e+04 1.37498321e+07 -2.16134942e+08 -4.86695547e+06 6.25515065e+08 -4.18019617e+08 -1.22552411e+07 -2.34079177e+08 1.33008750e+09 -1.37757546e+07 -6.86011307e+07 2.83932270e+09 1.14118016e+07 4.25443163e+09 1.34561402e+09 -1.25753347e+08 2.73418863e+07 -1.61391507e+08 -5.00061203e+06
1.22296020e+04 -1.49946112e+07 -6.80597617e+07 -4.18774544e+06 9.79278149e+07 -4.71827350e+07 -6.29914515e+06 1.03086286e+07 -1.51713578e+08 1.15184959e+04 1.81013735e+07 -2.15463849e+08 -4.95953192e+06 6.26744534e+08 -4.16024454e+08 -1.22910553e+07 -2.35818411e+08 1.32979305e+09 -1.37013959e+07 -6.97911181e+07 2.83923873e+09 1.14268994e+07 4.25414106e+09 1.34651887e+09 -1.25765285e+08 3.43352273e+07 -1.62088640e+08 -5.43558280e+06
1.22316105e+04 -8.36058970e+06 -6.90507917e+07 -4.87708043e+06 1.00377962e+08 -4.16632177e+07 -6.36456449e+06 1.53752558e+07 -1.51296475e+08 1.14887083e+04 2.24457624e+07 -2.14707640e+08 -5.05014902e+06 6.27968117e+08 -4.14025383e+08 -1.23267541e+07 -2.37557263e+08 1.32949645e+09 -1.36270150e+07 -7.09810933e+07 2.83915427e+09 1.14419953e+07 4.25385030e+09 1.34742366e+09 -1.25777218e+08 4.12984887e+07 -1.62643597e+08 -5.86578801e+06
1.22336190e+04 -1.62813579e+06 -6.92280276e+07 -5.50892746e+06 1.02517274e+08 -3.60146858e+07 -6.41027484e+06 2.04244131e+07 -1.50707462e+08 1.14458542e+04 2.67812405e+07 -2.13866208e+08 -5.13876146e+06 6.29185799e+08 -4.12022422e+08 -1.23623371e+07 -2.39295730e+08 1.32919769e+09 -1.35526119e+07 -7.21710559e+07 2.83906930e+09 1.14570891e+07 4.25355935e+09 1.34832838e+09 -1.25789145e+08 4.82269247e+07 -1.63061255e+08 -6.29104376e+06
1.22356275e+04 5.12352310e+06 -6.85801998e+07 -6.07510030e+06 1.04338960e+08 -3.02545725e+07 -6.43612429e+06 2.54503678e+07 -1.49947241e+08 1.13899805e+04 3.11060366e+07 -2.12939486e+08 -5.22532442e+06 6.30397568e+08 -4.10015588e+08 -1.23978038e+07 -2.41033808e+08 1.32889677e+09 -1.34781869e+07 -7.33610060e+07 2.83898384e+09 1.14721809e+07 4.25326821e+09 1.34923305e+09 -1.25801066e+08 5.51162805e+07 -1.63346651e+08 -6.71119898e+06
1.22376360e+04 1.18126768e+07 -6.70998104e+07 -6.56749336e+06 1.05837190e+08 -2.44006704e+07 -6.44202125e+06 3.04474140e+07 -1.49016697e+08 1.13211481e+04 3.54183681e+07 -2.11927448e+08 -5.30979365e+06 6.31603410e+08 -4.08004900e+08 -1.24331541e+07 -2.42771495e+08 1.32859369e+09 -1.34037399e+07 -7.45509431e+07 2.83889789e+09 1.14872708e+07 4.25297687e+09 1.35013766e+09 -1.25812981e+08 6.19627800e+07 -1.63504925e+08 -7.12613355e+06
1.22396445e+04 1.83542574e+07 -6.47835846e+07 -6.97803831e+06 1.07007112e+08 -1.84710793e+07 -6.42793484e+06 3.54098780e+07 -1.47916900e+08 1.12394318e+04 3.97164416e+07 -2.10830107e+08 -5.39212546e+06 6.32803311e+08 -4.05990374e+08 -1.24683873e+07 -2.44508788e+08 1.32828847e+09 -1.33292712e+07 -7.57408672e+07 2.83881144e+09 1.15023586e+07 4.25268534e+09 1.35104220e+09 -1.25824891e+08 6.87631077e+07 -1.63541267e+08 -7.53575605e+06
1.22416530e+04 2.46589409e+07 -6.16332212e+07 -7.29868306e+06 1.07844870e+08 -1.24841540e+07 -6.39389517e+06 4.03321241e+07 -1.46649101e+08 1.11449206e+04 4.39984541e+07 -2.09647516e+08 -5.47227683e+06 6.33997259e+08 -4.03972029e+08 -1.25035033e+07 -2.46245684e+08 1.32798108e+09 -1.32547809e+07 -7.69307780e+07 2.83872449e+09 1.15174444e+07 4.25239362e+09 1.35194669e+09 -1.25836795e+08 7.55143865e+07 -1.63460869e+08 -7.94000151e+06
1.22436615e+04 3.06322516e+07 -5.76564978e+07 -7.52139993e+06 1.08347621e+08 -6.45845027e+06 -6.33999341e+06 4.52085598e+07 -1.45214734e+08 1.10377171e+04 4.82625939e+07 -2.08379772e+08 -5.55020535e+06 6.35185240e+08 -4.01949882e+08 -1.25385017e+07 -2.47982180e+08 1.32767154e+09 -1.31802691e+07 -7.81206753e+07 2.83863705e+09 1.15325281e+07 4.25210171e+09 1.35285111e+09 -1.25848694e+08 8.22141520e+07 -1.63268889e+08 -8.33882901e+06
1.22456700e+04 3.61737166e+07 -5.28688057e+07 -7.63823366e+06 1.08513539e+08 -4.12670988e+05 -6.26638166e+06 5.00336411e+07 -1.43615411e+08 1.09179377e+04 5.25070420e+07 -2.07027012e+08 -5.62586935e+06 6.36367242e+08 -3.99923951e+08 -1.25733820e+07 -2.49718275e+08 1.32735985e+09 -1.31057359e+07 -7.93105589e+07 2.83854911e+09 1.15476099e+07 4.25180961e+09 1.35375548e+09 -1.25860587e+08 8.88603250e+07 -1.62970412e+08 -8.73221932e+06
1.22476785e+04 4.11761529e+07 -4.72952119e+07 -7.64140447e+06 1.08341832e+08 5.63438964e+06 -6.17327275e+06 5.48018782e+07 -1.41852925e+08 1.07857125e+04 5.67299727e+07 -2.05589420e+08 -5.69922790e+06 6.37543250e+08 -3.97894254e+08 -1.26081439e+07 -2.51453964e+08 1.32704601e+09 -1.30311814e+07 -8.05004285e+07 2.83846068e+09 1.15626896e+07 4.25151732e+09 1.35465978e+09 -1.25872474e+08 9.54511821e+07 -1.62570425e+08 -9.12017255e+06
1.22496870e+04 4.55252221e+07 -4.09731571e+07 -7.52348778e+06 1.07832741e+08 1.16639017e+07 -6.06093975e+06 5.95078407e+07 -1.39929243e+08 1.06411851e+04 6.09295551e+07 -2.04067219e+08 -5.77024085e+06 6.38713253e+08 -3.95860809e+08 -1.26427871e+07 -2.53189245e+08 1.32673001e+09 -1.29566057e+07 -8.16902841e+07 2.83837175e+09 1.15777673e+07 4.25122484e+09 1.35556402e+09 -1.25884356e+08 1.01985327e+08 -1.62073794e+08 -9.50270594e+06
1.22516955e+04 4.90994703e+07 -3.39559048e+07 -7.27769980e+06 1.06987549e+08 1.76570558e+07 -5.92971541e+06 6.41461629e+07 -1.37846510e+08 1.04845125e+04 6.51039544e+07 -2.02460680e+08 -5.83886887e+06 6.39877237e+08 -3.93823634e+08 -1.26773111e+07 -2.54924115e+08 1.32641186e+09 -1.28820091e+07 -8.28801253e+07 2.83828232e+09 1.15928430e+07 4.25093216e+09 1.35646820e+09 -1.25896232e+08 1.08461663e+08 -1.61485244e+08 -9.87985177e+06
1.22537040e+04 5.17711845e+07 -2.63168320e+07 -6.89832673e+06 1.05808576e+08 2.35951202e+07 -5.77999131e+06 6.87115487e+07 -1.35607041e+08 1.03158651e+04 6.92513327e+07 -2.00770115e+08 -5.90507350e+06 6.41035190e+08 -3.91782746e+08 -1.27117156e+07 -2.56658572e+08 1.32609157e+09 -1.28073915e+07 -8.40699520e+07 2.83819240e+09 1.16079167e+07 4.25063930e+09 1.35737232e+09 -1.25908102e+08 1.14879360e+08 -1.60809345e+08 -1.02516553e+07
1.22557125e+04 5.34085504e+07 -1.81545716e+07 -6.38134295e+06 1.04299178e+08 2.94594971e+07 -5.61221700e+06 7.31987778e+07 -1.33213326e+08 1.01354262e+04 7.33698505e+07 -1.98995884e+08 -5.96881718e+06 6.42187098e+08 -3.89738164e+08 -1.27460003e+07 -2.58392612e+08 1.32576912e+09 -1.27327532e+07 -8.52597639e+07 2.83810198e+09 1.16229883e+07 4.25034624e+09 1.35827638e+09 -1.25919967e+08 1.21237834e+08 -1.60050505e+08 -1.06181730e+07
1.22577210e+04 5.38797815e+07 -9.59883488e+06 -5.72526552e+06 1.02463740e+08 3.52317802e+07 -5.42689875e+06 7.76027096e+07 -1.30668020e+08 9.94339229e+03 7.74576682e+07 -1.97138391e+08 -6.03006332e+06 6.43332949e+08 -3.87689907e+08 -1.27801648e+07 -2.60126233e+08 1.32544452e+09 -1.26580942e+07 -8.64495609e+07 2.83801107e+09 1.16380579e+07 4.25005299e+09 1.35918038e+09 -1.25931826e+08 1.27536716e+08 -1.59212960e+08 -1.09794708e+07
